,Table 44:,Student Enrolment at various levels through Regular mode during last 5 years,,,,,,,,,Student Enrolment at various levels through Regular mode during last 5 years,,,,,,,,,Student Enrolment at various levels through Regular mode during last 5 years,,,,,,,,
"Sl. 
No.",State/UTs,Ph.D.,,,M.Phil.,,,Post Graduate,,,Under Graduate,,,PG Diploma,,,Diploma,,,Certificate,,,Integrated,,,Grand Total,,
,,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both
,2019-20,5478,5372,10850,261,203,464,79931,107686,187617,837759,823253,1661012,3012,2578,5590,73593,26205,99798,4678,5390,10068,29964,24607,54571,1034676,995294,2029970
,2018-19,5296,5145,10441,116,160,276,55450,88245,143695,834092,819343,1653435,2689,2233,4922,73456,21307,94763,3401,4632,8033,16104,12310,28414,990604,953375,1943979
,2017-18,3925,4054,7979,173,182,355,57743,84109,141852,784493,712336,1496829,3175,2330,5505,84152,21093,105245,3014,4291,7305,7478,5588,13066,944154,833982,1778136
,2016-17,3672,3338,7010,420,191,611,46278,70062,116340,758502,662449,1420951,2826,2030,4856,76549,15578,92127,2725,4118,6843,5875,4238,10113,896847,762004,1658851
29,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,115,80,195,34,30,64,1633,2312,3945,10347,10389,20736,,,,1072,1141,2213,61,11,72,153,222,375,13415,14185,27600
,2019-20,215,195,410,43,44,87,1190,1540,2730,8412,9660,18072,,,,1015,1053,2068,34,6,40,120,198,318,11029,12696,23725
,2018-19,211,188,399,37,42,79,1061,1264,2325,8156,9367,17523,,,,1016,1024,2040,37,10,47,110,185,295,10628,12080,22708
,2017-18,77,53,130,9,17,26,1002,1376,2378,7129,8897,16027,,,,900,952,1852,6,14,20,117,177,294,9240,11487,20726
,2016-17,107,89,196,72,75,147,774,1031,1805,6699,7760,14459,,,,816,675,1491,9,37,46,153,184,337,8630,9851,18481
30,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,17443,16968,34411,1696,5007,6703,106868,175312,282180,1091024,1186072,2277096,1232,1292,2524,238219,50394,288613,2574,4848,7422,11859,11193,23052,1470915,1451086,2922001
