UniversityType,Year,Metric,Value
Central Open University,2017,Post Graduate Female,146381
Central Open University,2016,Post Graduate Female,181202
Institute of National Importance,2020,Post Graduate Female,19698
Institute of National Importance,2019,Post Graduate Female,51405
Institute of National Importance,2018,Post Graduate Female,12819
Institute of National Importance,2017,Post Graduate Female,10626
Institute of National Importance,2016,Post Graduate Female,11916
Deemed University-Government,2020,Post Graduate Female,4613
Deemed University-Government,2019,Post Graduate Female,4793
Deemed University-Government,2018,Post Graduate Female,4171
Deemed University-Government,2017,Post Graduate Female,4099
Deemed University-Government,2016,Post Graduate Female,4031
State Public University,2020,Post Graduate Female,587200
State Public University,2019,Post Graduate Female,540175
State Public University,2018,Post Graduate Female,495889
State Public University,2017,Post Graduate Female,534821
State Public University,2016,Post Graduate Female,568594
State Open University,2020,Post Graduate Female,150134
State Open University,2019,Post Graduate Female,97968
State Open University,2018,Post Graduate Female,88333
State Open University,2017,Post Graduate Female,86079
State Open University,2016,Post Graduate Female,80947
Institute under State Legislature Act,2020,Post Graduate Female,789
Institute under State Legislature Act,2019,Post Graduate Female,595
Institute under State Legislature Act,2018,Post Graduate Female,479
Institute under State Legislature Act,2017,Post Graduate Female,245
Institute under State Legislature Act,2016,Post Graduate Female,333
State Private University,2020,Post Graduate Female,107377
State Private University,2019,Post Graduate Female,93921
State Private University,2018,Post Graduate Female,84335
State Private University,2017,Post Graduate Female,78796
State Private University,2016,Post Graduate Female,60270
Deemed University-Government Aided,2020,Post Graduate Female,7993
Deemed University-Government Aided,2019,Post Graduate Female,6900
Deemed University-Government Aided,2018,Post Graduate Female,7555
Deemed University-Government Aided,2017,Post Graduate Female,7188
Deemed University-Government Aided,2016,Post Graduate Female,14991
Deemed University-Private,2020,Post Graduate Female,66886
Deemed University-Private,2019,Post Graduate Female,59178
Deemed University-Private,2018,Post Graduate Female,50420
Deemed University-Private,2017,Post Graduate Female,48220
Deemed University-Private,2016,Post Graduate Female,45810
State Private Open University,2020,Post Graduate Female,910
State Private Open University,2019,Post Graduate Female,916
State Private Open University,2017,Post Graduate Female,1
State Private Open University,2016,Post Graduate Female,1
All University Types,2020,Post Graduate Both,2324185
All University Types,2019,Post Graduate Both,2096551
All University Types,2018,Post Graduate Both,1889491
All University Types,2017,Post Graduate Both,1975124
All University Types,2016,Post Graduate Both,1958125
Central University,2020,Post Graduate Both,133390
Central University,2019,Post Graduate Both,123805
Central University,2018,Post Graduate Both,108482
Central University,2017,Post Graduate Both,109734
Central University,2016,Post Graduate Both,108027
Central Open University,2020,Post Graduate Both,409182
Central Open University,2019,Post Graduate Both,396606
Central Open University,2018,Post Graduate Both,356404
Central Open University,2017,Post Graduate Both,340744
Central Open University,2016,Post Graduate Both,318293
Institute of National Importance,2020,Post Graduate Both,69109
Institute of National Importance,2019,Post Graduate Both,83823
Institute of National Importance,2018,Post Graduate Both,50201
Institute of National Importance,2017,Post Graduate Both,40520
Institute of National Importance,2016,Post Graduate Both,41330
Deemed University-Government,2020,Post Graduate Both,12903
Deemed University-Government,2019,Post Graduate Both,12456
Deemed University-Government,2018,Post Graduate Both,10477
Deemed University-Government,2017,Post Graduate Both,11730
Deemed University-Government,2016,Post Graduate Both,12414
State Public University,2020,Post Graduate Both,987091
State Public University,2019,Post Graduate Both,927420
State Public University,2018,Post Graduate Both,863954
State Public University,2017,Post Graduate Both,974934
State Public University,2016,Post Graduate Both,1019626
State Open University,2020,Post Graduate Both,315310
State Open University,2019,Post Graduate Both,195850
State Open University,2018,Post Graduate Both,177840
State Open University,2017,Post Graduate Both,184501
State Open University,2016,Post Graduate Both,190488
Institute under State Legislature Act,2020,Post Graduate Both,1363
Institute under State Legislature Act,2019,Post Graduate Both,1223
Institute under State Legislature Act,2018,Post Graduate Both,1035
Institute under State Legislature Act,2017,Post Graduate Both,677
Institute under State Legislature Act,2016,Post Graduate Both,676
State Private University,2020,Post Graduate Both,245101
State Private University,2019,Post Graduate Both,223593
State Private University,2018,Post Graduate Both,204462
State Private University,2017,Post Graduate Both,196594
State Private University,2016,Post Graduate Both,141474
Deemed University-Government Aided,2020,Post Graduate Both,13878
Deemed University-Government Aided,2019,Post Graduate Both,12442
Deemed University-Government Aided,2018,Post Graduate Both,13889
Deemed University-Government Aided,2017,Post Graduate Both,15567
Deemed University-Government Aided,2016,Post Graduate Both,29973
Deemed University-Private,2020,Post Graduate Both,134884
Deemed University-Private,2019,Post Graduate Both,117930
Deemed University-Private,2018,Post Graduate Both,102747
Deemed University-Private,2017,Post Graduate Both,100112
Deemed University-Private,2016,Post Graduate Both,95813
State Private Open University,2020,Post Graduate Both,1974
