State,Area,Year,unemployment_rate_x,estimated_employed,labour_participation_rate,unemployment_rate_y,per_capita,poverty_rate,literacy_rate,labour_force,youth_unemployment_rate,edu_Certificate Both,edu_Certificate Female,edu_Certificate Male,edu_Diploma Both,edu_Diploma Female,edu_Diploma Male,edu_Grand Total Both,edu_Grand Total Female,edu_Grand Total Male,edu_Integrated Both,edu_Integrated Female,edu_Integrated Male,edu_M.Phil. Both,edu_M.Phil. Female,edu_M.Phil. Male,edu_PG Diploma Both,edu_PG Diploma Female,edu_PG Diploma Male,edu_Ph.D. Both,edu_Ph.D. Female,edu_Ph.D. Male,edu_Post Graduate Both,edu_Post Graduate Female,edu_Post Graduate Male,edu_Under Graduate Both,edu_Under Graduate Female,edu_Under Graduate Male,job_count_total,job_avg_salary_overall
Meghalaya,Urban,2019.0,6.0024999999999995,256598.5,51.68,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Meghalaya,Urban,2020.0,9.379999999999999,234048.4,47.884,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Odisha,Rural,2019.0,4.23125,11523173.75,41.595,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Odisha,Rural,2020.0,9.788333333333334,9712042.0,36.43666666666667,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Odisha,Urban,2019.0,3.09125,2483265.875,40.465,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Odisha,Urban,2020.0,6.851666666666667,2159524.3333333335,35.806666666666665,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Puducherry,Rural,2019.0,1.0025,169969.25,42.46,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Puducherry,Rural,2020.0,19.785,137866.75,42.644999999999996,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Puducherry,Urban,2019.0,2.3962499999999998,296191.5,37.4775,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Puducherry,Urban,2020.0,26.543333333333333,206412.83333333334,33.955,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Punjab,Rural,2019.0,9.0075,6180933.375,45.1575,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Punjab,Rural,2020.0,15.815,5397664.333333333,42.25,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
